country,year,Trawling_Hours
Atlantic halibut Gulf of Maine / Georges Bank,1852,10737.56
Atlantic halibut Gulf of Maine / Georges Bank,1853,11265.28
Atlantic halibut Gulf of Maine / Georges Bank,1854,11483.2
Atlantic halibut Gulf of Maine / Georges Bank,1855,11715.83
Atlantic halibut Gulf of Maine / Georges Bank,1856,11833.43
Atlantic halibut Gulf of Maine / Georges Bank,1857,11562.22
Atlantic halibut Gulf of Maine / Georges Bank,1858,11817.88
Atlantic halibut Gulf of Maine / Georges Bank,1859,12218.7
Atlantic halibut Gulf of Maine / Georges Bank,1860,11858.09
Atlantic halibut Gulf of Maine / Georges Bank,1861,12183.0
Atlantic halibut Gulf of Maine / Georges Bank,1862,12091.02
Atlantic halibut Gulf of Maine / Georges Bank,1863,12143.8
Atlantic halibut Gulf of Maine / Georges Bank,1864,12443.6
Atlantic halibut Gulf of Maine / Georges Bank,1865,12342.82
Atlantic halibut Gulf of Maine / Georges Bank,1866,12629.81
Atlantic halibut Gulf of Maine / Georges Bank,1867,12478.59
Atlantic halibut Gulf of Maine / Georges Bank,1868,12852.08
Atlantic halibut Gulf of Maine / Georges Bank,1869,13163.6
Atlantic halibut Gulf of Maine / Georges Bank,1870,12972.45
Atlantic halibut Gulf of Maine / Georges Bank,1871,13271.87
Atlantic halibut Gulf of Maine / Georges Bank,1872,13430.88
Red snapper Gulf of Mexico,1872,14677.19
Atlantic halibut Gulf of Maine / Georges Bank,1873,13469.01
Red snapper Gulf of Mexico,1873,14987.19
Atlantic halibut Gulf of Maine / Georges Bank,1874,12998.8
Red snapper Gulf of Mexico,1874,15662.75
Atlantic halibut Gulf of Maine / Georges Bank,1875,13487.74
Red snapper Gulf of Mexico,1875,15022.45
Atlantic halibut Gulf of Maine / Georges Bank,1876,13587.54
English sole Pacific Coast,1876,14777.27
Petrale sole Pacific Coast,1876,14400.29
Red snapper Gulf of Mexico,1876,14826.21
Atlantic halibut Gulf of Maine / Georges Bank,1877,14311.01
English sole Pacific Coast,1877,14654.8
Petrale sole Pacific Coast,1877,14601.48
Red snapper Gulf of Mexico,1877,14866.28
Atlantic halibut Gulf of Maine / Georges Bank,1878,14099.81
English sole Pacific Coast,1878,15425.01
Petrale sole Pacific Coast,1878,14846.21
Red snapper Gulf of Mexico,1878,15353.71
Atlantic halibut Gulf of Maine / Georges Bank,1879,14094.4
English sole Pacific Coast,1879,14964.24
Petrale sole Pacific Coast,1879,14736.59
Red snapper Gulf of Mexico,1879,15516.2
Atlantic halibut Gulf of Maine / Georges Bank,1880,14026.08
English sole Pacific Coast,1880,15264.51
Petrale sole Pacific Coast,1880,14470.44
Red snapper Gulf of Mexico,1880,15990.77
Atlantic halibut Gulf of Maine / Georges Bank,1881,14237.59
English sole Pacific Coast,1881,15272.98
Petrale sole Pacific Coast,1881,15218.86
Red snapper Gulf of Mexico,1881,15545.71
Atlantic halibut Gulf of Maine / Georges Bank,1882,14691.26
English sole Pacific Coast,1882,15734.54
Petrale sole Pacific Coast,1882,15206.64
Red snapper Gulf of Mexico,1882,15848.09
Atlantic halibut Gulf of Maine / Georges Bank,1883,14203.64
English sole Pacific Coast,1883,15143.87
Petrale sole Pacific Coast,1883,15471.39
Red snapper Gulf of Mexico,1883,16032.41
Atlantic halibut Gulf of Maine / Georges Bank,1884,15045.52
English sole Pacific Coast,1884,15734.61
Petrale sole Pacific Coast,1884,15664.24
Red snapper Gulf of Mexico,1884,15903.01
Atlantic halibut Gulf of Maine / Georges Bank,1885,14985.23
English sole Pacific Coast,1885,15355.39
Petrale sole Pacific Coast,1885,15013.91
Red snapper Gulf of Mexico,1885,15608.31
Atlantic halibut Gulf of Maine / Georges Bank,1886,14803.53
English sole Pacific Coast,1886,16249.76
Petrale sole Pacific Coast,1886,15051.5
Red snapper Gulf of Mexico,1886,16130.37
Spanish mackerel Gulf of Mexico,1886,14244.09
Atlantic halibut Gulf of Maine / Georges Bank,1887,15008.79
English sole Pacific Coast,1887,15954.9
Petrale sole Pacific Coast,1887,15427.28
Red snapper Gulf of Mexico,1887,16668.33
Spanish mackerel Gulf of Mexico,1887,15212.23
Atlantic halibut Gulf of Maine / Georges Bank,1888,14634.35
English sole Pacific Coast,1888,15819.09
Pacific halibut North Pacific,1888,14889.73
Petrale sole Pacific Coast,1888,16095.15
Red snapper Gulf of Mexico,1888,16325.16
Spanish mackerel Gulf of Mexico,1888,14866.06
Atlantic halibut Gulf of Maine / Georges Bank,1889,15082.06
English sole Pacific Coast,1889,15684.15
Pacific halibut North Pacific,1889,15425.6
Petrale sole Pacific Coast,1889,15330.1
Red snapper Gulf of Mexico,1889,17280.01
Spanish mackerel Gulf of Mexico,1889,15209.58
Atlantic halibut Gulf of Maine / Georges Bank,1890,15753.07
English sole Pacific Coast,1890,16436.63
Pacific halibut North Pacific,1890,15036.18
Petrale sole Pacific Coast,1890,16114.94
Red snapper Gulf of Mexico,1890,16644.76
Spanish mackerel Gulf of Mexico,1890,15277.96
Atlantic halibut Gulf of Maine / Georges Bank,1891,15658.97
English sole Pacific Coast,1891,16098.88
Pacific halibut North Pacific,1891,14970.82
Petrale sole Pacific Coast,1891,15822.04
Red snapper Gulf of Mexico,1891,17112.7
Spanish mackerel Gulf of Mexico,1891,15046.8
American lobster Southern Gulf of St. Lawrence,1892,14582.54
Atlantic halibut Gulf of Maine / Georges Bank,1892,15908.13
Black rockfish Oregon Coast,1892,17226.71
Canary rockfish Pacific Coast,1892,16474.15
Chilipepper Southern Pacific Coast,1892,16275.15
English sole Pacific Coast,1892,16027.94
Pacific halibut North Pacific,1892,15311.71
Petrale sole Pacific Coast,1892,16189.55
Red snapper Gulf of Mexico,1892,16650.67
Sharpchin rockfish Pacific Coast,1892,15246.48
Spanish mackerel Gulf of Mexico,1892,15906.03
Yellowtail rockfish Northern Pacific Coast,1892,17046.5
American lobster Lobster Fishing Area 34,1893,16873.03
American lobster Lobster Fishing Areas 35-38,1893,15303.51
American lobster Southern Gulf of St. Lawrence,1893,15695.39
Atlantic halibut Gulf of Maine / Georges Bank,1893,15886.54
Black rockfish Oregon Coast,1893,16718.66
Canary rockfish Pacific Coast,1893,16381.34
Chilipepper Southern Pacific Coast,1893,16717.73
English sole Pacific Coast,1893,16665.75
Pacific halibut North Pacific,1893,15833.84
Petrale sole Pacific Coast,1893,16472.51
Red snapper Gulf of Mexico,1893,16976.25
Sharpchin rockfish Pacific Coast,1893,15321.53
Spanish mackerel Gulf of Mexico,1893,15621.93
Yellowtail rockfish Northern Pacific Coast,1893,16710.91
American lobster Lobster Fishing Area 34,1894,17289.71
American lobster Lobster Fishing Areas 35-38,1894,15614.41
American lobster Southern Gulf of St. Lawrence,1894,15313.57
Atlantic halibut Gulf of Maine / Georges Bank,1894,16254.49
Black rockfish Oregon Coast,1894,17236.5
Canary rockfish Pacific Coast,1894,16271.98
Chilipepper Southern Pacific Coast,1894,16937.02
English sole Pacific Coast,1894,16575.85
Pacific halibut North Pacific,1894,16137.86
Petrale sole Pacific Coast,1894,16228.86
Red snapper Gulf of Mexico,1894,17253.27
Sharpchin rockfish Pacific Coast,1894,15086.56
Spanish mackerel Gulf of Mexico,1894,16258.85
Yellowtail rockfish Northern Pacific Coast,1894,16848.47
American lobster Lobster Fishing Area 34,1895,17222.19
American lobster Lobster Fishing Areas 35-38,1895,15604.21
American lobster Southern Gulf of St. Lawrence,1895,15409.93
Atlantic halibut Gulf of Maine / Georges Bank,1895,16285.14
Black rockfish Oregon Coast,1895,17499.73
Canary rockfish Pacific Coast,1895,17089.25
Chilipepper Southern Pacific Coast,1895,16355.06
English sole Pacific Coast,1895,16944.31
Pacific halibut North Pacific,1895,16149.84
Petrale sole Pacific Coast,1895,16091.72
Red snapper Gulf of Mexico,1895,17395.74
Sharpchin rockfish Pacific Coast,1895,15440.54
Spanish mackerel Gulf of Mexico,1895,15836.4
Yellowtail rockfish Northern Pacific Coast,1895,17108.13
American lobster Lobster Fishing Area 34,1896,16754.2
American lobster Lobster Fishing Areas 35-38,1896,15370.75
American lobster Southern Gulf of St. Lawrence,1896,15929.08
Atlantic halibut Gulf of Maine / Georges Bank,1896,16600.29
Black rockfish Oregon Coast,1896,17343.16
Canary rockfish Pacific Coast,1896,16561.99
Chilipepper Southern Pacific Coast,1896,16449.23
English sole Pacific Coast,1896,17152.99
Pacific halibut North Pacific,1896,15501.76
Petrale sole Pacific Coast,1896,16503.93
Red snapper Gulf of Mexico,1896,17245.46
Rex sole Pacific Coast,1896,15824.39
Sharpchin rockfish Pacific Coast,1896,15333.46
Spanish mackerel Gulf of Mexico,1896,15842.07
Yellowtail rockfish Northern Pacific Coast,1896,17273.27
American lobster Lobster Fishing Area 34,1897,17515.3
American lobster Lobster Fishing Areas 35-38,1897,16374.0
American lobster Southern Gulf of St. Lawrence,1897,15788.73
Atlantic halibut Gulf of Maine / Georges Bank,1897,16527.87
Black rockfish Oregon Coast,1897,18007.71
Canary rockfish Pacific Coast,1897,16490.45
Chilipepper Southern Pacific Coast,1897,16686.1
English sole Pacific Coast,1897,17312.49
Pacific halibut North Pacific,1897,16535.95
Petrale sole Pacific Coast,1897,16759.17
Red snapper Gulf of Mexico,1897,18059.48
Rex sole Pacific Coast,1897,16032.58
Sharpchin rockfish Pacific Coast,1897,15476.9
Spanish mackerel Gulf of Mexico,1897,15654.83
Yellowtail rockfish Northern Pacific Coast,1897,17768.64
American lobster Lobster Fishing Area 34,1898,17150.4
American lobster Lobster Fishing Areas 35-38,1898,16209.06
American lobster Southern Gulf of St. Lawrence,1898,16351.21
Atlantic halibut Gulf of Maine / Georges Bank,1898,16417.05
Black rockfish Oregon Coast,1898,17886.56
Canary rockfish Pacific Coast,1898,16597.87
Chilipepper Southern Pacific Coast,1898,17015.97
English sole Pacific Coast,1898,16801.84
Pacific halibut North Pacific,1898,16093.89
Petrale sole Pacific Coast,1898,17191.34
Red snapper Gulf of Mexico,1898,17683.98
Rex sole Pacific Coast,1898,16491.76
Sharpchin rockfish Pacific Coast,1898,15576.42
Spanish mackerel Gulf of Mexico,1898,16139.64
Yellowtail rockfish Northern Pacific Coast,1898,17541.58
American lobster Lobster Fishing Area 34,1899,17653.39
American lobster Lobster Fishing Areas 35-38,1899,16455.8
American lobster Southern Gulf of St. Lawrence,1899,16170.89
Atlantic halibut Gulf of Maine / Georges Bank,1899,16307.9
Black rockfish Oregon Coast,1899,17345.43
Canary rockfish Pacific Coast,1899,16870.94
Chilipepper Southern Pacific Coast,1899,17224.48
English sole Pacific Coast,1899,17370.14
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1899,16459.24
New Zealand snapper New Zealand SNA 1 east Northland,1899,16234.05
Pacific halibut North Pacific,1899,15711.68
Petrale sole Pacific Coast,1899,17724.04
Red snapper Gulf of Mexico,1899,17441.99
Rex sole Pacific Coast,1899,16494.55
Sharpchin rockfish Pacific Coast,1899,15930.55
Spanish mackerel Gulf of Mexico,1899,16267.43
Yellowtail rockfish Northern Pacific Coast,1899,17819.35
American lobster Lobster Fishing Area 34,1900,17549.43
American lobster Lobster Fishing Areas 35-38,1900,16563.87
American lobster Southern Gulf of St. Lawrence,1900,15984.59
Atlantic halibut Gulf of Maine / Georges Bank,1900,17098.97
Black rockfish Oregon Coast,1900,17902.88
Canary rockfish Pacific Coast,1900,17382.11
Chilipepper Southern Pacific Coast,1900,17264.01
China rockfish Central Pacific Coast,1900,16978.61
China rockfish Northern Pacific Coast,1900,16507.52
China rockfish Southern Pacific Coast,1900,16476.55
Cowcod Southern California,1900,16912.73
English sole Pacific Coast,1900,17857.91
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1900,16294.15
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1900,16417.96
New Zealand snapper New Zealand SNA 1 east Northland,1900,16540.94
Pacific halibut North Pacific,1900,16371.26
Petrale sole Pacific Coast,1900,17936.78
Red snapper Gulf of Mexico,1900,17811.39
Rex sole Pacific Coast,1900,16168.53
Sablefish Pacific Coast,1900,16743.2
Sharpchin rockfish Pacific Coast,1900,15283.45
Spanish mackerel Gulf of Mexico,1900,16331.22
Yellowtail rockfish Northern Pacific Coast,1900,17828.31
American lobster Lobster Fishing Area 34,1901,17487.19
American lobster Lobster Fishing Areas 35-38,1901,16697.01
American lobster Southern Gulf of St. Lawrence,1901,16252.36
Atlantic halibut Gulf of Maine / Georges Bank,1901,16328.36
Black rockfish Oregon Coast,1901,17658.39
Canary rockfish Pacific Coast,1901,16455.75
Chilipepper Southern Pacific Coast,1901,17624.13
China rockfish Central Pacific Coast,1901,17254.5
China rockfish Northern Pacific Coast,1901,16745.91
China rockfish Southern Pacific Coast,1901,16864.49
Cowcod Southern California,1901,16958.96
English sole Pacific Coast,1901,17294.03
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1901,16524.14
King mackerel Southern Atlantic coast,1901,16646.12
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1901,16468.01
New Zealand snapper New Zealand SNA 1 east Northland,1901,16559.39
Pacific halibut North Pacific,1901,16308.71
Petrale sole Pacific Coast,1901,17207.15
Red snapper Gulf of Mexico,1901,17809.4
Rex sole Pacific Coast,1901,16574.38
Sablefish Pacific Coast,1901,16515.91
Sharpchin rockfish Pacific Coast,1901,16165.88
Shortspine thornyhead Pacific Coast,1901,16813.52
Spanish mackerel Gulf of Mexico,1901,15971.75
Yellowtail rockfish Northern Pacific Coast,1901,18333.55
American lobster Lobster Fishing Area 34,1902,18054.74
American lobster Lobster Fishing Areas 35-38,1902,17351.28
American lobster Southern Gulf of St. Lawrence,1902,16042.98
Atlantic halibut Gulf of Maine / Georges Bank,1902,16926.39
Black rockfish Oregon Coast,1902,17933.8
Canary rockfish Pacific Coast,1902,17739.04
Chilipepper Southern Pacific Coast,1902,17504.01
China rockfish Central Pacific Coast,1902,16938.2
China rockfish Northern Pacific Coast,1902,17466.23
China rockfish Southern Pacific Coast,1902,16727.46
Cowcod Southern California,1902,17727.3
English sole Pacific Coast,1902,17932.65
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1902,16510.02
King mackerel Southern Atlantic coast,1902,16920.43
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1902,16489.34
New Zealand snapper New Zealand SNA 1 east Northland,1902,16843.93
Pacific halibut North Pacific,1902,16810.92
Petrale sole Pacific Coast,1902,17198.38
Red snapper Gulf of Mexico,1902,18174.08
Rex sole Pacific Coast,1902,16268.06
Sablefish Pacific Coast,1902,16526.06
Sharpchin rockfish Pacific Coast,1902,16271.89
Shortspine thornyhead Pacific Coast,1902,16564.09
Spanish mackerel Gulf of Mexico,1902,17170.2
Yellowtail rockfish Northern Pacific Coast,1902,17821.9
American lobster Lobster Fishing Area 34,1903,18012.86
American lobster Lobster Fishing Areas 35-38,1903,17135.14
American lobster Southern Gulf of St. Lawrence,1903,16217.3
Atlantic halibut Gulf of Maine / Georges Bank,1903,16418.27
Black rockfish Oregon Coast,1903,17958.87
Canary rockfish Pacific Coast,1903,17299.78
Chilipepper Southern Pacific Coast,1903,17093.23
China rockfish Central Pacific Coast,1903,17494.98
China rockfish Northern Pacific Coast,1903,17286.02
China rockfish Southern Pacific Coast,1903,17285.16
Cowcod Southern California,1903,17247.46
English sole Pacific Coast,1903,17344.25
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1903,16516.97
King mackerel Southern Atlantic coast,1903,17066.22
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1903,17003.21
New Zealand snapper New Zealand SNA 1 east Northland,1903,17391.65
Pacific halibut North Pacific,1903,17036.33
Petrale sole Pacific Coast,1903,17640.28
Red snapper Gulf of Mexico,1903,18501.28
Rex sole Pacific Coast,1903,16531.5
Sablefish Pacific Coast,1903,16994.81
Sharpchin rockfish Pacific Coast,1903,16043.78
Shortspine thornyhead Pacific Coast,1903,17290.95
Spanish mackerel Gulf of Mexico,1903,16698.63
Yellowtail rockfish Northern Pacific Coast,1903,18816.46
American lobster Lobster Fishing Area 34,1904,18076.19
American lobster Lobster Fishing Areas 35-38,1904,16931.69
American lobster Southern Gulf of St. Lawrence,1904,16667.26
Atlantic halibut Gulf of Maine / Georges Bank,1904,17092.63
Black rockfish Oregon Coast,1904,17971.6
Canary rockfish Pacific Coast,1904,18071.87
Chilipepper Southern Pacific Coast,1904,17601.87
China rockfish Central Pacific Coast,1904,17131.14
China rockfish Northern Pacific Coast,1904,17547.97
China rockfish Southern Pacific Coast,1904,17409.8
Cowcod Southern California,1904,17568.28
English sole Pacific Coast,1904,17813.17
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1904,16843.75
King mackerel Southern Atlantic coast,1904,17000.37
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1904,16612.3
New Zealand snapper New Zealand SNA 1 east Northland,1904,17352.36
Pacific halibut North Pacific,1904,16974.13
Petrale sole Pacific Coast,1904,18070.66
Red snapper Gulf of Mexico,1904,18005.65
Rex sole Pacific Coast,1904,16692.91
Sablefish Pacific Coast,1904,17148.64
Sharpchin rockfish Pacific Coast,1904,16243.48
Shortspine thornyhead Pacific Coast,1904,17584.65
Spanish mackerel Gulf of Mexico,1904,17159.43
Yellowtail rockfish Northern Pacific Coast,1904,18244.81
American lobster Lobster Fishing Area 34,1905,18276.46
American lobster Lobster Fishing Areas 35-38,1905,17461.36
American lobster Southern Gulf of St. Lawrence,1905,17255.95
Atlantic halibut Gulf of Maine / Georges Bank,1905,17572.82
Black rockfish Oregon Coast,1905,18510.38
Canary rockfish Pacific Coast,1905,17546.11
Chilipepper Southern Pacific Coast,1905,18123.91
China rockfish Central Pacific Coast,1905,17816.56
China rockfish Northern Pacific Coast,1905,17400.78
China rockfish Southern Pacific Coast,1905,17004.03
Cowcod Southern California,1905,17439.32
English sole Pacific Coast,1905,17542.67
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1905,16294.62
King mackerel Southern Atlantic coast,1905,17506.56
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1905,17011.12
New Zealand snapper New Zealand SNA 1 east Northland,1905,17063.34
Orange roughy New Zealand Mid East Coast,1905,18070.92
Pacific halibut North Pacific,1905,16975.13
Petrale sole Pacific Coast,1905,17747.95
Red snapper Gulf of Mexico,1905,18099.26
Rex sole Pacific Coast,1905,17237.55
Sablefish Pacific Coast,1905,17275.53
Sharpchin rockfish Pacific Coast,1905,16720.94
Shortspine thornyhead Pacific Coast,1905,17763.41
Spanish mackerel Gulf of Mexico,1905,16667.94
Splitnose rockfish Pacific Coast,1905,17363.47
Spurdog Northeast Atlantic,1905,17586.46
Yellowtail rockfish Northern Pacific Coast,1905,18806.4
American lobster Lobster Fishing Area 34,1906,18605.22
American lobster Lobster Fishing Areas 35-38,1906,16833.04
American lobster Southern Gulf of St. Lawrence,1906,16987.04
Atlantic halibut Gulf of Maine / Georges Bank,1906,17566.96
Black rockfish Oregon Coast,1906,18461.45
Canary rockfish Pacific Coast,1906,17893.92
Chilipepper Southern Pacific Coast,1906,18110.38
China rockfish Central Pacific Coast,1906,18013.32
China rockfish Northern Pacific Coast,1906,17757.26
China rockfish Southern Pacific Coast,1906,17311.6
Cowcod Southern California,1906,17496.12
Dredge oyster Foveax Strait,1906,18053.16
English sole Pacific Coast,1906,18401.07
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1906,17689.11
King mackerel Southern Atlantic coast,1906,17775.35
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1906,16517.06
New Zealand snapper New Zealand SNA 1 east Northland,1906,17352.01
Orange roughy New Zealand Mid East Coast,1906,18833.76
Pacific halibut North Pacific,1906,17219.05
Petrale sole Pacific Coast,1906,18015.91
Red snapper Gulf of Mexico,1906,18891.5
Rex sole Pacific Coast,1906,16896.94
Sablefish Pacific Coast,1906,17447.72
Sharpchin rockfish Pacific Coast,1906,16686.03
Shortspine thornyhead Pacific Coast,1906,17626.25
Spanish mackerel Gulf of Mexico,1906,17280.57
Splitnose rockfish Pacific Coast,1906,16841.33
Spurdog Northeast Atlantic,1906,18134.86
Yellowtail rockfish Northern Pacific Coast,1906,18532.98
American lobster Lobster Fishing Area 34,1907,18583.08
American lobster Lobster Fishing Areas 35-38,1907,16844.53
American lobster Southern Gulf of St. Lawrence,1907,17172.12
Atlantic halibut Gulf of Maine / Georges Bank,1907,18023.03
Black rockfish Oregon Coast,1907,18417.96
Canary rockfish Pacific Coast,1907,17709.16
Chilipepper Southern Pacific Coast,1907,18339.54
China rockfish Central Pacific Coast,1907,18325.96
China rockfish Northern Pacific Coast,1907,17268.93
China rockfish Southern Pacific Coast,1907,17090.57
Cowcod Southern California,1907,17927.45
Dredge oyster Foveax Strait,1907,17778.73
English sole Pacific Coast,1907,18058.83
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1907,16490.75
King mackerel Southern Atlantic coast,1907,17749.44
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1907,17308.43
New Zealand snapper New Zealand SNA 1 east Northland,1907,16938.83
Orange roughy New Zealand Mid East Coast,1907,18847.51
Pacific halibut North Pacific,1907,17656.32
Petrale sole Pacific Coast,1907,17812.05
Red snapper Gulf of Mexico,1907,19091.39
Rex sole Pacific Coast,1907,17031.75
Sablefish Pacific Coast,1907,17478.62
Sharpchin rockfish Pacific Coast,1907,16630.44
Shortspine thornyhead Pacific Coast,1907,18416.42
Spanish mackerel Gulf of Mexico,1907,17063.23
Splitnose rockfish Pacific Coast,1907,17277.28
Spurdog Northeast Atlantic,1907,17662.09
Yellowtail rockfish Northern Pacific Coast,1907,19338.21
American lobster Lobster Fishing Area 34,1908,19190.87
American lobster Lobster Fishing Areas 35-38,1908,17873.96
American lobster Southern Gulf of St. Lawrence,1908,17363.1
Atlantic halibut Gulf of Maine / Georges Bank,1908,17521.64
Black rockfish Oregon Coast,1908,18940.71
Canary rockfish Pacific Coast,1908,18160.12
Chilipepper Southern Pacific Coast,1908,18769.87
China rockfish Central Pacific Coast,1908,18344.28
China rockfish Northern Pacific Coast,1908,17629.11
China rockfish Southern Pacific Coast,1908,17826.81
Common sole ICES 7bc,1908,17257.51
Cowcod Southern California,1908,17351.64
Dredge oyster Foveax Strait,1908,18385.11
English sole Pacific Coast,1908,18294.45
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1908,16973.17
European plaice ICES 7bc,1908,17922.11
King mackerel Southern Atlantic coast,1908,17652.15
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1908,17470.83
New Zealand snapper New Zealand SNA 1 east Northland,1908,17158.85
Orange roughy New Zealand Mid East Coast,1908,18587.31
Pacific halibut North Pacific,1908,17445.02
Petrale sole Pacific Coast,1908,18715.86
Red snapper Gulf of Mexico,1908,18538.42
Rex sole Pacific Coast,1908,17218.77
Sablefish Pacific Coast,1908,17622.79
Sharpchin rockfish Pacific Coast,1908,17345.39
Shortspine thornyhead Pacific Coast,1908,17780.87
Spanish mackerel Gulf of Mexico,1908,17631.63
Splitnose rockfish Pacific Coast,1908,16778.14
Spurdog Northeast Atlantic,1908,17612.46
Yellowtail rockfish Northern Pacific Coast,1908,19004.41
American lobster Lobster Fishing Area 34,1909,18321.64
American lobster Lobster Fishing Areas 35-38,1909,17152.34
American lobster Southern Gulf of St. Lawrence,1909,17037.83
Atlantic halibut Gulf of Maine / Georges Bank,1909,18060.51
Black rockfish Oregon Coast,1909,18243.56
Canary rockfish Pacific Coast,1909,18333.32
Chilipepper Southern Pacific Coast,1909,18806.03
China rockfish Central Pacific Coast,1909,18071.03
China rockfish Northern Pacific Coast,1909,17833.24
China rockfish Southern Pacific Coast,1909,17782.99
Common sole ICES 7bc,1909,17115.27
Cowcod Southern California,1909,18720.86
Dredge oyster Foveax Strait,1909,17931.41
English sole Pacific Coast,1909,18528.49
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1909,17420.69
European plaice ICES 7bc,1909,18181.55
King mackerel Southern Atlantic coast,1909,16951.34
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1909,17398.54
New Zealand snapper New Zealand SNA 1 east Northland,1909,17958.54
Orange roughy New Zealand Mid East Coast,1909,18883.78
Pacific halibut North Pacific,1909,17498.42
Petrale sole Pacific Coast,1909,17947.96
Red snapper Gulf of Mexico,1909,19100.02
Rex sole Pacific Coast,1909,17271.62
