country,year,biomass_relative_to,SST,Trawling_Hours,country_encoded
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1903,24902190,27.57,17003.21,568
New Zealand snapper New Zealand SNA 1 east Northland,1903,24851240,28.18,17391.65,569
Pacific halibut North Pacific,1903,0,27.64,17036.33,656
Petrale sole Pacific Coast,1903,38594810,28.49,17640.28,690
Red snapper Gulf of Mexico,1903,17109380,29.81,18501.28,921
Rex sole Pacific Coast,1903,0,26.79,16531.5,931
Sablefish Pacific Coast,1903,24232770,27.52,16994.81,952
Sharpchin rockfish Pacific Coast,1903,0,26.03,16043.78,1001
Shortspine thornyhead Pacific Coast,1903,25030960,27.96,17290.95,1007
Spanish mackerel Gulf of Mexico,1903,38108130,27.07,16698.63,1173
Yellowtail rockfish Northern Pacific Coast,1903,0,30.33,18816.46,1327
American lobster Lobster Fishing Area 34,1904,0,28.96,18076.19,20
American lobster Lobster Fishing Areas 35-38,1904,0,27.26,16931.69,23
American lobster Southern Gulf of St. Lawrence,1904,0,26.87,16667.26,26
Atlantic halibut Gulf of Maine / Georges Bank,1904,804080,27.48,17092.63,100
Black rockfish Oregon Coast,1904,24917840,28.78,17971.6,141
Canary rockfish Pacific Coast,1904,24996660,29.03,18071.87,194
Chilipepper Southern Pacific Coast,1904,24255320,28.21,17601.87,206
China rockfish Central Pacific Coast,1904,25038460,27.49,17131.14,207
China rockfish Northern Pacific Coast,1904,250,28.22,17547.97,208
China rockfish Southern Pacific Coast,1904,24924810,28.03,17409.8,209
Cowcod Southern California,1904,24677420,28.19,17568.28,333
English sole Pacific Coast,1904,54551030,28.56,17813.17,369
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1904,0,27.14,16843.75,371
King mackerel Southern Atlantic coast,1904,46709750,27.33,17000.37,521
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1904,24738890,26.74,16612.3,568
New Zealand snapper New Zealand SNA 1 east Northland,1904,24746240,27.93,17352.36,569
Pacific halibut North Pacific,1904,0,27.35,16974.13,656
Petrale sole Pacific Coast,1904,38594810,29.03,18070.66,690
Red snapper Gulf of Mexico,1904,168750,28.81,18005.65,921
