country,year,biomass_relative_to,SST,Trawling_Hours
Atlantic halibut Gulf of Maine / Georges Bank,1852,1.502.041,26.24,10737.56
Atlantic halibut Gulf of Maine / Georges Bank,1853,1.487.755,26.94,11265.28
Atlantic halibut Gulf of Maine / Georges Bank,1854,1.471.429,27.13,11483.2
Atlantic halibut Gulf of Maine / Georges Bank,1855,1.457.143,27.33,11715.83
Atlantic halibut Gulf of Maine / Georges Bank,1856,1.440.816,27.35,11833.43
Atlantic halibut Gulf of Maine / Georges Bank,1857,142.449,26.72,11562.22
Atlantic halibut Gulf of Maine / Georges Bank,1858,1.408.163,26.96,11817.88
Atlantic halibut Gulf of Maine / Georges Bank,1859,1.391.837,27.45,12218.7
Atlantic halibut Gulf of Maine / Georges Bank,1860,137.551,26.67,11858.09
Atlantic halibut Gulf of Maine / Georges Bank,1861,1.359.184,27.03,12183.0
Atlantic halibut Gulf of Maine / Georges Bank,1862,1.340.816,26.7,12091.02
Atlantic halibut Gulf of Maine / Georges Bank,1863,1.322.449,26.61,12143.8
Atlantic halibut Gulf of Maine / Georges Bank,1864,1.304.082,26.93,12443.6
Atlantic halibut Gulf of Maine / Georges Bank,1865,1.285.714,26.58,12342.82
Atlantic halibut Gulf of Maine / Georges Bank,1866,1.265.306,26.88,12629.81
Atlantic halibut Gulf of Maine / Georges Bank,1867,1.244.898,26.45,12478.59
Atlantic halibut Gulf of Maine / Georges Bank,1868,122.449,26.89,12852.08
Atlantic halibut Gulf of Maine / Georges Bank,1869,1.202.041,27.23,13163.6
Atlantic halibut Gulf of Maine / Georges Bank,1870,1.181.633,26.73,12972.45
Atlantic halibut Gulf of Maine / Georges Bank,1871,1.159.184,27.05,13271.87
Atlantic halibut Gulf of Maine / Georges Bank,1872,1.134.694,27.13,13430.88
Red snapper Gulf of Mexico,1872,2.242.188,29.02,14677.19
Atlantic halibut Gulf of Maine / Georges Bank,1873,1.110.204,27.02,13469.01
Red snapper Gulf of Mexico,1873,2.242.188,29.36,14987.19
Atlantic halibut Gulf of Maine / Georges Bank,1874,1.085.714,26.05,12998.8
Red snapper Gulf of Mexico,1874,2.242.188,30.3,15662.75
Atlantic halibut Gulf of Maine / Georges Bank,1875,1.059.184,26.69,13487.74
Red snapper Gulf of Mexico,1875,2.234.375,29.05,15022.45
Atlantic halibut Gulf of Maine / Georges Bank,1876,1.032.653,26.67,13587.54
English sole Pacific Coast,1876,5.516.396,28.54,14777.27
Petrale sole Pacific Coast,1876,4.002.868,27.95,14400.29
Red snapper Gulf of Mexico,1876,2.226.563,28.55,14826.21
Atlantic halibut Gulf of Maine / Georges Bank,1877,1.004.082,27.7,14311.01
English sole Pacific Coast,1877,5.516.396,28.15,14654.8
Petrale sole Pacific Coast,1877,4.002.868,28.11,14601.48
Red snapper Gulf of Mexico,1877,2.210.938,28.43,14866.28
Atlantic halibut Gulf of Maine / Georges Bank,1878,973.469,27.17,14099.81
English sole Pacific Coast,1878,5.516.396,29.26,15425.01
Petrale sole Pacific Coast,1878,4.002.868,28.34,14846.21
Red snapper Gulf of Mexico,1878,2.203.125,29.07,15353.71
Atlantic halibut Gulf of Maine / Georges Bank,1879,942.857,26.98,14094.4
English sole Pacific Coast,1879,5.516.396,28.31,14964.24
Petrale sole Pacific Coast,1879,4.002.868,27.97,14736.59
Red snapper Gulf of Mexico,1879,2.195.313,29.16,15516.2
Atlantic halibut Gulf of Maine / Georges Bank,1880,910.204,26.69,14026.08
English sole Pacific Coast,1880,5.516.396,28.63,15264.51
Petrale sole Pacific Coast,1880,4.002.868,27.35,14470.44
Red snapper Gulf of Mexico,1880,2.1875,29.77,15990.77
Atlantic halibut Gulf of Maine / Georges Bank,1881,877.551,26.86,14237.59
English sole Pacific Coast,1881,5.516.396,28.46,15272.98
Petrale sole Pacific Coast,1881,4.002.868,28.42,15218.86
Red snapper Gulf of Mexico,1881,2.171.875,28.85,15545.71
Atlantic halibut Gulf of Maine / Georges Bank,1882,840.816,27.43,14691.26
English sole Pacific Coast,1882,5.516.396,29.05,15734.54
Petrale sole Pacific Coast,1882,4.002.868,28.22,15206.64
Red snapper Gulf of Mexico,1882,215.625,29.17,15848.09
Atlantic halibut Gulf of Maine / Georges Bank,1883,802.041,26.44,14203.64
English sole Pacific Coast,1883,5.516.396,27.89,15143.87
Petrale sole Pacific Coast,1883,3.990.919,28.48,15471.39
Red snapper Gulf of Mexico,1883,2.140.625,29.3,16032.41
Atlantic halibut Gulf of Maine / Georges Bank,1884,761.224,27.66,15045.52
English sole Pacific Coast,1884,5.516.396,28.69,15734.61
Petrale sole Pacific Coast,1884,3.990.919,28.62,15664.24
Red snapper Gulf of Mexico,1884,2.117.188,28.9,15903.01
Atlantic halibut Gulf of Maine / Georges Bank,1885,718.367,27.38,14985.23
English sole Pacific Coast,1885,5.516.396,27.88,15355.39
Petrale sole Pacific Coast,1885,3.990.919,27.36,15013.91
Red snapper Gulf of Mexico,1885,2.101.563,28.23,15608.31
Atlantic halibut Gulf of Maine / Georges Bank,1886,673.469,26.9,14803.53
English sole Pacific Coast,1886,5.516.396,29.19,16249.76
Petrale sole Pacific Coast,1886,397.897,27.24,15051.5
Red snapper Gulf of Mexico,1886,2.078.125,28.92,16130.37
Spanish mackerel Gulf of Mexico,1886,3.946.223,26.04,14244.09
Atlantic halibut Gulf of Maine / Georges Bank,1887,62.449,27.06,15008.79
English sole Pacific Coast,1887,5.516.396,28.52,15954.9
Petrale sole Pacific Coast,1887,397.897,27.69,15427.28
Red snapper Gulf of Mexico,1887,2.054.688,29.64,16668.33
Spanish mackerel Gulf of Mexico,1887,3.946.223,27.48,15212.23
Atlantic halibut Gulf of Maine / Georges Bank,1888,571.429,26.26,14634.35
English sole Pacific Coast,1888,5.516.396,28.11,15819.09
Pacific halibut North Pacific,1888,0,26.76,14889.73
Petrale sole Pacific Coast,1888,397.897,28.62,16095.15
Red snapper Gulf of Mexico,1888,2.039.063,28.89,16325.16
Spanish mackerel Gulf of Mexico,1888,3.936.551,26.72,14866.06
Atlantic halibut Gulf of Maine / Georges Bank,1889,514.286,26.83,15082.06
English sole Pacific Coast,1889,5.516.396,27.71,15684.15
Pacific halibut North Pacific,1889,0,27.47,15425.6
Petrale sole Pacific Coast,1889,3.967.021,27.16,15330.1
Red snapper Gulf of Mexico,1889,2.015.625,30.3,17280.01
Spanish mackerel Gulf of Mexico,1889,3.936.551,27.11,15209.58
Atlantic halibut Gulf of Maine / Georges Bank,1890,45.102,27.76,15753.07
English sole Pacific Coast,1890,5.516.396,28.78,16436.63
Pacific halibut North Pacific,1890,0,26.64,15036.18
Petrale sole Pacific Coast,1890,3.967.021,28.29,16114.94
Red snapper Gulf of Mexico,1890,2,29.06,16644.76
Spanish mackerel Gulf of Mexico,1890,3.917.207,27.04,15277.96
Atlantic halibut Gulf of Maine / Georges Bank,1891,381.633,27.43,15658.97
English sole Pacific Coast,1891,5.516.396,28.04,16098.88
Pacific halibut North Pacific,1891,0,26.35,14970.82
Petrale sole Pacific Coast,1891,3.955.072,27.62,15822.04
Red snapper Gulf of Mexico,1891,1.976.563,29.66,17112.7
Spanish mackerel Gulf of Mexico,1891,3.907.535,26.48,15046.8
American lobster Southern Gulf of St. Lawrence,1892,0,25.56,14582.54
Atlantic halibut Gulf of Maine / Georges Bank,1892,306.122,27.66,15908.13
Black rockfish Oregon Coast,1892,2.491.784,29.7,17226.71
Canary rockfish Pacific Coast,1892,2.499.666,28.53,16474.15
Chilipepper Southern Pacific Coast,1892,2.496.454,28.16,16275.15
English sole Pacific Coast,1892,5.516.396,27.74,16027.94
Pacific halibut North Pacific,1892,0,26.74,15311.71
Petrale sole Pacific Coast,1892,3.955.072,28.06,16189.55
Red snapper Gulf of Mexico,1892,1.960.938,28.71,16650.67
Sharpchin rockfish Pacific Coast,1892,0,26.68,15246.48
Spanish mackerel Gulf of Mexico,1892,3.897.862,27.73,15906.03
Yellowtail rockfish Northern Pacific Coast,1892,0,29.36,17046.5
American lobster Lobster Fishing Area 34,1893,0,28.94,16873.03
American lobster Lobster Fishing Areas 35-38,1893,0,26.53,15303.51
American lobster Southern Gulf of St. Lawrence,1893,0,27.23,15695.39
Atlantic halibut Gulf of Maine / Georges Bank,1893,220.408,27.45,15886.54
Black rockfish Oregon Coast,1893,2.491.784,28.67,16718.66
Canary rockfish Pacific Coast,1893,2.499.666,28.2,16381.34
Chilipepper Southern Pacific Coast,1893,2.485.816,28.72,16717.73
English sole Pacific Coast,1893,5.516.396,28.63,16665.75
Pacific halibut North Pacific,1893,0,27.43,15833.84
Petrale sole Pacific Coast,1893,3.943.123,28.35,16472.51
Red snapper Gulf of Mexico,1893,1.9375,29.07,16976.25
Sharpchin rockfish Pacific Coast,1893,0,26.62,15321.53
Spanish mackerel Gulf of Mexico,1893,388.819,27.08,15621.93
Yellowtail rockfish Northern Pacific Coast,1893,0,28.62,16710.91
American lobster Lobster Fishing Area 34,1894,0,29.45,17289.71
American lobster Lobster Fishing Areas 35-38,1894,0,26.87,15614.41
American lobster Southern Gulf of St. Lawrence,1894,0,26.42,15313.57
Atlantic halibut Gulf of Maine / Georges Bank,1894,232.653,27.88,16254.49
Black rockfish Oregon Coast,1894,2.491.784,29.35,17236.5
Canary rockfish Pacific Coast,1894,2.499.666,27.83,16271.98
Chilipepper Southern Pacific Coast,1894,2.475.177,28.91,16937.02
English sole Pacific Coast,1894,5.501.073,28.3,16575.85
Pacific halibut North Pacific,1894,0,27.76,16137.86
Petrale sole Pacific Coast,1894,3.931.175,27.76,16228.86
Red snapper Gulf of Mexico,1894,1.921.875,29.35,17253.27
Sharpchin rockfish Pacific Coast,1894,0,26.05,15086.56
Spanish mackerel Gulf of Mexico,1894,3.878.518,27.96,16258.85
Yellowtail rockfish Northern Pacific Coast,1894,0,28.67,16848.47
American lobster Lobster Fishing Area 34,1895,0,29.16,17222.19
American lobster Lobster Fishing Areas 35-38,1895,0,26.67,15604.21
American lobster Southern Gulf of St. Lawrence,1895,0,26.4,15409.93
Atlantic halibut Gulf of Maine / Georges Bank,1895,242.857,27.75,16285.14
Black rockfish Oregon Coast,1895,2.491.784,29.61,17499.73
Canary rockfish Pacific Coast,1895,2.499.666,29.02,17089.25
Chilipepper Southern Pacific Coast,1895,2.464.539,27.76,16355.06
English sole Pacific Coast,1895,5.501.073,28.73,16944.31
Pacific halibut North Pacific,1895,0,27.6,16149.84
Petrale sole Pacific Coast,1895,3.931.175,27.35,16091.72
Red snapper Gulf of Mexico,1895,1.898.438,29.41,17395.74
Sharpchin rockfish Pacific Coast,1895,0,26.46,15440.54
Spanish mackerel Gulf of Mexico,1895,3.868.846,27.08,15836.4
Yellowtail rockfish Northern Pacific Coast,1895,0,28.92,17108.13
American lobster Lobster Fishing Area 34,1896,0,28.2,16754.2
American lobster Lobster Fishing Areas 35-38,1896,0,26.1,15370.75
American lobster Southern Gulf of St. Lawrence,1896,0,27.08,15929.08
Atlantic halibut Gulf of Maine / Georges Bank,1896,174.694,28.1,16600.29
Black rockfish Oregon Coast,1896,2.491.784,29.17,17343.16
Canary rockfish Pacific Coast,1896,2.499.666,27.96,16561.99
Chilipepper Southern Pacific Coast,1896,2.457.447,27.73,16449.23
English sole Pacific Coast,1896,5.501.073,28.9,17152.99
Pacific halibut North Pacific,1896,0,26.34,15501.76
Petrale sole Pacific Coast,1896,3.919.226,27.86,16503.93
Red snapper Gulf of Mexico,1896,1.882.813,28.98,17245.46
Rex sole Pacific Coast,1896,0,26.87,15824.39
Sharpchin rockfish Pacific Coast,1896,0,26.1,15333.46
Spanish mackerel Gulf of Mexico,1896,3.868.846,26.9,15842.07
Yellowtail rockfish Northern Pacific Coast,1896,0,29.02,17273.27
American lobster Lobster Fishing Area 34,1897,0,29.29,17515.3
American lobster Lobster Fishing Areas 35-38,1897,0,27.59,16374.0
American lobster Southern Gulf of St. Lawrence,1897,0,26.67,15788.73
Atlantic halibut Gulf of Maine / Georges Bank,1897,81.224,27.79,16527.87
Black rockfish Oregon Coast,1897,2.491.784,30.1,18007.71
Canary rockfish Pacific Coast,1897,2.499.666,27.66,16490.45
Chilipepper Southern Pacific Coast,1897,2.453.901,27.95,16686.1
English sole Pacific Coast,1897,5.501.073,28.98,17312.49
Pacific halibut North Pacific,1897,0,27.88,16535.95
Petrale sole Pacific Coast,1897,3.907.277,28.11,16759.17
Red snapper Gulf of Mexico,1897,1.859.375,30.16,18059.48
Rex sole Pacific Coast,1897,0,27.03,16032.58
Sharpchin rockfish Pacific Coast,1897,0,26.16,15476.9
Spanish mackerel Gulf of Mexico,1897,3.868.846,26.41,15654.83
Yellowtail rockfish Northern Pacific Coast,1897,0,29.66,17768.64
American lobster Lobster Fishing Area 34,1898,0,28.5,17150.4
American lobster Lobster Fishing Areas 35-38,1898,0,27.14,16209.06
American lobster Southern Gulf of St. Lawrence,1898,0,27.43,16351.21
Atlantic halibut Gulf of Maine / Georges Bank,1898,75.102,27.43,16417.05
Black rockfish Oregon Coast,1898,2.491.784,29.72,17886.56
Canary rockfish Pacific Coast,1898,2.499.666,27.66,16597.87
Chilipepper Southern Pacific Coast,1898,2.446.809,28.32,17015.97
English sole Pacific Coast,1898,5.501.073,27.95,16801.84
Pacific halibut North Pacific,1898,0,26.96,16093.89
Petrale sole Pacific Coast,1898,3.907.277,28.65,17191.34
Red snapper Gulf of Mexico,1898,184.375,29.35,17683.98
Rex sole Pacific Coast,1898,0,27.62,16491.76
Sharpchin rockfish Pacific Coast,1898,0,26.15,15576.42
Spanish mackerel Gulf of Mexico,1898,3.859.174,27.04,16139.64
Yellowtail rockfish Northern Pacific Coast,1898,0,29.11,17541.58
American lobster Lobster Fishing Area 34,1899,0,29.16,17653.39
American lobster Lobster Fishing Areas 35-38,1899,0,27.37,16455.8
American lobster Southern Gulf of St. Lawrence,1899,0,26.95,16170.89
Atlantic halibut Gulf of Maine / Georges Bank,1899,72.245,27.07,16307.9
Black rockfish Oregon Coast,1899,2.491.784,28.63,17345.43
Canary rockfish Pacific Coast,1899,2.499.666,27.93,16870.94
Chilipepper Southern Pacific Coast,1899,2.443.262,28.48,17224.48
English sole Pacific Coast,1899,5.501.073,28.72,17370.14
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1899,2.531.042,27.38,16459.24
New Zealand snapper New Zealand SNA 1 east Northland,1899,2.513.126,26.97,16234.05
Pacific halibut North Pacific,1899,0,26.15,15711.68
Petrale sole Pacific Coast,1899,3.895.328,29.35,17724.04
Red snapper Gulf of Mexico,1899,1.820.313,28.77,17441.99
Rex sole Pacific Coast,1899,0,27.44,16494.55
Sharpchin rockfish Pacific Coast,1899,0,26.56,15930.55
Spanish mackerel Gulf of Mexico,1899,3.849.502,27.07,16267.43
Yellowtail rockfish Northern Pacific Coast,1899,0,29.39,17819.35
American lobster Lobster Fishing Area 34,1900,0,28.8,17549.43
American lobster Lobster Fishing Areas 35-38,1900,0,27.37,16563.87
American lobster Southern Gulf of St. Lawrence,1900,0,26.45,15984.59
Atlantic halibut Gulf of Maine / Georges Bank,1900,72.653,28.21,17098.97
Black rockfish Oregon Coast,1900,2.491.784,29.38,17902.88
Canary rockfish Pacific Coast,1900,2.499.666,28.6,17382.11
Chilipepper Southern Pacific Coast,1900,2.439.716,28.37,17264.01
China rockfish Central Pacific Coast,1900,2.503.846,27.96,16978.61
China rockfish Northern Pacific Coast,1900,2.5,27.2,16507.52
China rockfish Southern Pacific Coast,1900,2.5,27.2,16476.55
Cowcod Southern California,1900,2.5,27.82,16912.73
English sole Pacific Coast,1900,5.485.749,29.35,17857.91
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1900,0,26.94,16294.15
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1900,2.531.042,27.14,16417.96
New Zealand snapper New Zealand SNA 1 east Northland,1900,2.513.126,27.3,16540.94
Pacific halibut North Pacific,1900,0,27.07,16371.26
Petrale sole Pacific Coast,1900,3.883.379,29.53,17936.78
Red snapper Gulf of Mexico,1900,1.804.688,29.2,17811.39
Rex sole Pacific Coast,1900,0,26.72,16168.53
Sablefish Pacific Coast,1900,2.439.875,27.64,16743.2
Sharpchin rockfish Pacific Coast,1900,0,25.3,15283.45
Spanish mackerel Gulf of Mexico,1900,3.849.502,27.0,16331.22
Yellowtail rockfish Northern Pacific Coast,1900,0,29.22,17828.31
American lobster Lobster Fishing Area 34,1901,0,28.52,17487.19
American lobster Lobster Fishing Areas 35-38,1901,0,27.41,16697.01
American lobster Southern Gulf of St. Lawrence,1901,0,26.72,16252.36
Atlantic halibut Gulf of Maine / Georges Bank,1901,75.102,26.74,16328.36
Black rockfish Oregon Coast,1901,2.491.784,28.8,17658.39
Canary rockfish Pacific Coast,1901,2.499.666,26.88,16455.75
Chilipepper Southern Pacific Coast,1901,243.617,28.79,17624.13
China rockfish Central Pacific Coast,1901,2.503.846,28.24,17254.5
China rockfish Northern Pacific Coast,1901,2.5,27.42,16745.91
China rockfish Southern Pacific Coast,1901,2.5,27.66,16864.49
Cowcod Southern California,1901,2.5,27.71,16958.96
English sole Pacific Coast,1901,5.485.749,28.23,17294.03
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1901,0,27.15,16524.14
King mackerel Southern Atlantic coast,1901,4.670.975,27.27,16646.12
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1901,2.514.713,27.04,16468.01
New Zealand snapper New Zealand SNA 1 east Northland,1901,2.506.125,27.15,16559.39
Pacific halibut North Pacific,1901,0,26.78,16308.71
Petrale sole Pacific Coast,1901,3.883.379,28.13,17207.15
Red snapper Gulf of Mexico,1901,1.773.438,29.02,17809.4
Rex sole Pacific Coast,1901,0,27.22,16574.38
Sablefish Pacific Coast,1901,2.423.277,27.08,16515.91
Sharpchin rockfish Pacific Coast,1901,0,26.59,16165.88
Shortspine thornyhead Pacific Coast,1901,2.503.096,27.52,16813.52
Spanish mackerel Gulf of Mexico,1901,383.983,26.22,15971.75
Yellowtail rockfish Northern Pacific Coast,1901,0,29.89,18333.55
American lobster Lobster Fishing Area 34,1902,0,29.29,18054.74
American lobster Lobster Fishing Areas 35-38,1902,0,28.32,17351.28
American lobster Southern Gulf of St. Lawrence,1902,0,26.19,16042.98
Atlantic halibut Gulf of Maine / Georges Bank,1902,78.776,27.56,16926.39
Black rockfish Oregon Coast,1902,2.491.784,29.07,17933.8
Canary rockfish Pacific Coast,1902,2.499.666,28.84,17739.04
Chilipepper Southern Pacific Coast,1902,2.432.624,28.41,17504.01
China rockfish Central Pacific Coast,1902,2.503.846,27.53,16938.2
China rockfish Northern Pacific Coast,1902,2.5,28.44,17466.23
China rockfish Southern Pacific Coast,1902,2.5,27.26,16727.46
Cowcod Southern California,1902,2.5,28.81,17727.3
English sole Pacific Coast,1902,5.470.426,29.12,17932.65
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1902,0,26.94,16510.02
King mackerel Southern Atlantic coast,1902,4.670.975,27.55,16920.43
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1902,2.506.548,26.89,16489.34
New Zealand snapper New Zealand SNA 1 east Northland,1902,2.495.625,27.45,16843.93
Pacific halibut North Pacific,1902,0,27.44,16810.92
Petrale sole Pacific Coast,1902,387.143,27.94,17198.38
Red snapper Gulf of Mexico,1902,1.742.188,29.45,18174.08
Rex sole Pacific Coast,1902,0,26.53,16268.06
Sablefish Pacific Coast,1902,2.423.277,26.92,16526.06
Sharpchin rockfish Pacific Coast,1902,0,26.59,16271.89
Shortspine thornyhead Pacific Coast,1902,2.503.096,26.93,16564.09
Spanish mackerel Gulf of Mexico,1902,3.830.158,28.04,17170.2
Yellowtail rockfish Northern Pacific Coast,1902,0,28.85,17821.9
American lobster Lobster Fishing Area 34,1903,0,29.04,18012.86
American lobster Lobster Fishing Areas 35-38,1903,0,27.78,17135.14
American lobster Southern Gulf of St. Lawrence,1903,0,26.3,16217.3
Atlantic halibut Gulf of Maine / Georges Bank,1903,8.102,26.53,16418.27
Black rockfish Oregon Coast,1903,2.491.784,28.94,17958.87
Canary rockfish Pacific Coast,1903,2.499.666,27.93,17299.78
Chilipepper Southern Pacific Coast,1903,2.429.078,27.55,17093.23
China rockfish Central Pacific Coast,1903,2.503.846,28.28,17494.98
China rockfish Northern Pacific Coast,1903,2.5,27.96,17286.02
China rockfish Southern Pacific Coast,1903,2.496.241,28.0,17285.16
Cowcod Southern California,1903,2.483.871,27.84,17247.46
English sole Pacific Coast,1903,5.470.426,27.96,17344.25
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1903,0,26.78,16516.97
King mackerel Southern Atlantic coast,1903,4.670.975,27.61,17066.22
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1903,2.490.219,27.57,17003.21
New Zealand snapper New Zealand SNA 1 east Northland,1903,2.485.124,28.18,17391.65
Pacific halibut North Pacific,1903,0,27.64,17036.33
Petrale sole Pacific Coast,1903,3.859.481,28.49,17640.28
Red snapper Gulf of Mexico,1903,1.710.938,29.81,18501.28
Rex sole Pacific Coast,1903,0,26.79,16531.5
Sablefish Pacific Coast,1903,2.423.277,27.52,16994.81
Sharpchin rockfish Pacific Coast,1903,0,26.03,16043.78
Shortspine thornyhead Pacific Coast,1903,2.503.096,27.96,17290.95
Spanish mackerel Gulf of Mexico,1903,3.810.813,27.07,16698.63
Yellowtail rockfish Northern Pacific Coast,1903,0,30.33,18816.46
American lobster Lobster Fishing Area 34,1904,0,28.96,18076.19
American lobster Lobster Fishing Areas 35-38,1904,0,27.26,16931.69
American lobster Southern Gulf of St. Lawrence,1904,0,26.87,16667.26
Atlantic halibut Gulf of Maine / Georges Bank,1904,80.408,27.48,17092.63
Black rockfish Oregon Coast,1904,2.491.784,28.78,17971.6
Canary rockfish Pacific Coast,1904,2.499.666,29.03,18071.87
Chilipepper Southern Pacific Coast,1904,2.425.532,28.21,17601.87
China rockfish Central Pacific Coast,1904,2.503.846,27.49,17131.14
China rockfish Northern Pacific Coast,1904,2.5,28.22,17547.97
China rockfish Southern Pacific Coast,1904,2.492.481,28.03,17409.8
Cowcod Southern California,1904,2.467.742,28.19,17568.28
English sole Pacific Coast,1904,5.455.103,28.56,17813.17
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1904,0,27.14,16843.75
King mackerel Southern Atlantic coast,1904,4.670.975,27.33,17000.37
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1904,2.473.889,26.74,16612.3
New Zealand snapper New Zealand SNA 1 east Northland,1904,2.474.624,27.93,17352.36
Pacific halibut North Pacific,1904,0,27.35,16974.13
Petrale sole Pacific Coast,1904,3.859.481,29.03,18070.66
Red snapper Gulf of Mexico,1904,1.6875,28.81,18005.65
Rex sole Pacific Coast,1904,0,26.87,16692.91
Sablefish Pacific Coast,1904,2.406.679,27.6,17148.64
Sharpchin rockfish Pacific Coast,1904,0,26.18,16243.48
Shortspine thornyhead Pacific Coast,1904,2.503.096,28.27,17584.65
Spanish mackerel Gulf of Mexico,1904,3.801.141,27.66,17159.43
Yellowtail rockfish Northern Pacific Coast,1904,0,29.2,18244.81
American lobster Lobster Fishing Area 34,1905,0,29.12,18276.46
American lobster Lobster Fishing Areas 35-38,1905,0,27.96,17461.36
American lobster Southern Gulf of St. Lawrence,1905,0,27.67,17255.95
