country,year,SST
Atlantic halibut Gulf of Maine / Georges Bank,1839,26.36
Atlantic halibut Gulf of Maine / Georges Bank,1840,26.83
Atlantic halibut Gulf of Maine / Georges Bank,1841,25.82
Atlantic halibut Gulf of Maine / Georges Bank,1842,27.02
Atlantic halibut Gulf of Maine / Georges Bank,1843,26.13
Atlantic halibut Gulf of Maine / Georges Bank,1844,25.73
Atlantic halibut Gulf of Maine / Georges Bank,1845,26.39
Atlantic halibut Gulf of Maine / Georges Bank,1846,25.5
Atlantic halibut Gulf of Maine / Georges Bank,1847,26.69
Atlantic halibut Gulf of Maine / Georges Bank,1848,26.45
Atlantic halibut Gulf of Maine / Georges Bank,1849,27.22
Atlantic halibut Gulf of Maine / Georges Bank,1850,26.95
Atlantic halibut Gulf of Maine / Georges Bank,1851,25.95
Atlantic halibut Gulf of Maine / Georges Bank,1852,26.24
Atlantic halibut Gulf of Maine / Georges Bank,1853,26.94
Atlantic halibut Gulf of Maine / Georges Bank,1854,27.13
Atlantic halibut Gulf of Maine / Georges Bank,1855,27.33
Atlantic halibut Gulf of Maine / Georges Bank,1856,27.35
Atlantic halibut Gulf of Maine / Georges Bank,1857,26.72
Atlantic halibut Gulf of Maine / Georges Bank,1858,26.96
Atlantic halibut Gulf of Maine / Georges Bank,1859,27.45
Atlantic halibut Gulf of Maine / Georges Bank,1860,26.67
Atlantic halibut Gulf of Maine / Georges Bank,1861,27.03
Atlantic halibut Gulf of Maine / Georges Bank,1862,26.7
Atlantic halibut Gulf of Maine / Georges Bank,1863,26.61
Atlantic halibut Gulf of Maine / Georges Bank,1864,26.93
Atlantic halibut Gulf of Maine / Georges Bank,1865,26.58
Atlantic halibut Gulf of Maine / Georges Bank,1866,26.88
Atlantic halibut Gulf of Maine / Georges Bank,1867,26.45
Atlantic halibut Gulf of Maine / Georges Bank,1868,26.89
Atlantic halibut Gulf of Maine / Georges Bank,1869,27.23
Atlantic halibut Gulf of Maine / Georges Bank,1870,26.73
Atlantic halibut Gulf of Maine / Georges Bank,1871,27.05
Atlantic halibut Gulf of Maine / Georges Bank,1872,27.13
Red snapper Gulf of Mexico,1872,29.02
Atlantic halibut Gulf of Maine / Georges Bank,1873,27.02
Red snapper Gulf of Mexico,1873,29.36
Atlantic halibut Gulf of Maine / Georges Bank,1874,26.05
Red snapper Gulf of Mexico,1874,30.3
Atlantic halibut Gulf of Maine / Georges Bank,1875,26.69
Red snapper Gulf of Mexico,1875,29.05
Atlantic halibut Gulf of Maine / Georges Bank,1876,26.67
English sole Pacific Coast,1876,28.54
Petrale sole Pacific Coast,1876,27.95
Red snapper Gulf of Mexico,1876,28.55
Atlantic halibut Gulf of Maine / Georges Bank,1877,27.7
English sole Pacific Coast,1877,28.15
Petrale sole Pacific Coast,1877,28.11
Red snapper Gulf of Mexico,1877,28.43
Atlantic halibut Gulf of Maine / Georges Bank,1878,27.17
English sole Pacific Coast,1878,29.26
Petrale sole Pacific Coast,1878,28.34
Red snapper Gulf of Mexico,1878,29.07
Atlantic halibut Gulf of Maine / Georges Bank,1879,26.98
English sole Pacific Coast,1879,28.31
Petrale sole Pacific Coast,1879,27.97
Red snapper Gulf of Mexico,1879,29.16
Atlantic halibut Gulf of Maine / Georges Bank,1880,26.69
English sole Pacific Coast,1880,28.63
Petrale sole Pacific Coast,1880,27.35
Red snapper Gulf of Mexico,1880,29.77
Atlantic halibut Gulf of Maine / Georges Bank,1881,26.86
English sole Pacific Coast,1881,28.46
Petrale sole Pacific Coast,1881,28.42
Red snapper Gulf of Mexico,1881,28.85
Atlantic halibut Gulf of Maine / Georges Bank,1882,27.43
English sole Pacific Coast,1882,29.05
Petrale sole Pacific Coast,1882,28.22
Red snapper Gulf of Mexico,1882,29.17
Atlantic halibut Gulf of Maine / Georges Bank,1883,26.44
English sole Pacific Coast,1883,27.89
Petrale sole Pacific Coast,1883,28.48
Red snapper Gulf of Mexico,1883,29.3
Atlantic halibut Gulf of Maine / Georges Bank,1884,27.66
English sole Pacific Coast,1884,28.69
Petrale sole Pacific Coast,1884,28.62
Red snapper Gulf of Mexico,1884,28.9
Atlantic halibut Gulf of Maine / Georges Bank,1885,27.38
English sole Pacific Coast,1885,27.88
Petrale sole Pacific Coast,1885,27.36
Red snapper Gulf of Mexico,1885,28.23
Atlantic halibut Gulf of Maine / Georges Bank,1886,26.9
English sole Pacific Coast,1886,29.19
Petrale sole Pacific Coast,1886,27.24
Red snapper Gulf of Mexico,1886,28.92
Spanish mackerel Gulf of Mexico,1886,26.04
Atlantic halibut Gulf of Maine / Georges Bank,1887,27.06
English sole Pacific Coast,1887,28.52
Petrale sole Pacific Coast,1887,27.69
Red snapper Gulf of Mexico,1887,29.64
Spanish mackerel Gulf of Mexico,1887,27.48
Atlantic halibut Gulf of Maine / Georges Bank,1888,26.26
English sole Pacific Coast,1888,28.11
Pacific halibut North Pacific,1888,26.76
Petrale sole Pacific Coast,1888,28.62
Red snapper Gulf of Mexico,1888,28.89
Spanish mackerel Gulf of Mexico,1888,26.72
Atlantic halibut Gulf of Maine / Georges Bank,1889,26.83
English sole Pacific Coast,1889,27.71
Pacific halibut North Pacific,1889,27.47
Petrale sole Pacific Coast,1889,27.16
Red snapper Gulf of Mexico,1889,30.3
Spanish mackerel Gulf of Mexico,1889,27.11
Atlantic halibut Gulf of Maine / Georges Bank,1890,27.76
English sole Pacific Coast,1890,28.78
Pacific halibut North Pacific,1890,26.64
Petrale sole Pacific Coast,1890,28.29
Red snapper Gulf of Mexico,1890,29.06
Spanish mackerel Gulf of Mexico,1890,27.04
Atlantic halibut Gulf of Maine / Georges Bank,1891,27.43
English sole Pacific Coast,1891,28.04
Pacific halibut North Pacific,1891,26.35
Petrale sole Pacific Coast,1891,27.62
Red snapper Gulf of Mexico,1891,29.66
Spanish mackerel Gulf of Mexico,1891,26.48
American lobster Southern Gulf of St. Lawrence,1892,25.56
Atlantic halibut Gulf of Maine / Georges Bank,1892,27.66
Black rockfish Oregon Coast,1892,29.7
Canary rockfish Pacific Coast,1892,28.53
Chilipepper Southern Pacific Coast,1892,28.16
English sole Pacific Coast,1892,27.74
Pacific halibut North Pacific,1892,26.74
Petrale sole Pacific Coast,1892,28.06
Red snapper Gulf of Mexico,1892,28.71
Sharpchin rockfish Pacific Coast,1892,26.68
Spanish mackerel Gulf of Mexico,1892,27.73
Yellowtail rockfish Northern Pacific Coast,1892,29.36
American lobster Lobster Fishing Area 34,1893,28.94
American lobster Lobster Fishing Areas 35-38,1893,26.53
American lobster Southern Gulf of St. Lawrence,1893,27.23
Atlantic halibut Gulf of Maine / Georges Bank,1893,27.45
Black rockfish Oregon Coast,1893,28.67
Canary rockfish Pacific Coast,1893,28.2
Chilipepper Southern Pacific Coast,1893,28.72
English sole Pacific Coast,1893,28.63
Pacific halibut North Pacific,1893,27.43
Petrale sole Pacific Coast,1893,28.35
Red snapper Gulf of Mexico,1893,29.07
Sharpchin rockfish Pacific Coast,1893,26.62
Spanish mackerel Gulf of Mexico,1893,27.08
Yellowtail rockfish Northern Pacific Coast,1893,28.62
American lobster Lobster Fishing Area 34,1894,29.45
American lobster Lobster Fishing Areas 35-38,1894,26.87
American lobster Southern Gulf of St. Lawrence,1894,26.42
Atlantic halibut Gulf of Maine / Georges Bank,1894,27.88
Black rockfish Oregon Coast,1894,29.35
Canary rockfish Pacific Coast,1894,27.83
Chilipepper Southern Pacific Coast,1894,28.91
English sole Pacific Coast,1894,28.3
Pacific halibut North Pacific,1894,27.76
Petrale sole Pacific Coast,1894,27.76
Red snapper Gulf of Mexico,1894,29.35
Sharpchin rockfish Pacific Coast,1894,26.05
Spanish mackerel Gulf of Mexico,1894,27.96
Yellowtail rockfish Northern Pacific Coast,1894,28.67
American lobster Lobster Fishing Area 34,1895,29.16
American lobster Lobster Fishing Areas 35-38,1895,26.67
American lobster Southern Gulf of St. Lawrence,1895,26.4
Atlantic halibut Gulf of Maine / Georges Bank,1895,27.75
Black rockfish Oregon Coast,1895,29.61
Canary rockfish Pacific Coast,1895,29.02
Chilipepper Southern Pacific Coast,1895,27.76
English sole Pacific Coast,1895,28.73
Pacific halibut North Pacific,1895,27.6
Petrale sole Pacific Coast,1895,27.35
Red snapper Gulf of Mexico,1895,29.41
Sharpchin rockfish Pacific Coast,1895,26.46
Spanish mackerel Gulf of Mexico,1895,27.08
Yellowtail rockfish Northern Pacific Coast,1895,28.92
American lobster Lobster Fishing Area 34,1896,28.2
American lobster Lobster Fishing Areas 35-38,1896,26.1
American lobster Southern Gulf of St. Lawrence,1896,27.08
Atlantic halibut Gulf of Maine / Georges Bank,1896,28.1
Black rockfish Oregon Coast,1896,29.17
Canary rockfish Pacific Coast,1896,27.96
Chilipepper Southern Pacific Coast,1896,27.73
English sole Pacific Coast,1896,28.9
Pacific halibut North Pacific,1896,26.34
Petrale sole Pacific Coast,1896,27.86
Red snapper Gulf of Mexico,1896,28.98
Rex sole Pacific Coast,1896,26.87
Sharpchin rockfish Pacific Coast,1896,26.1
Spanish mackerel Gulf of Mexico,1896,26.9
Yellowtail rockfish Northern Pacific Coast,1896,29.02
American lobster Lobster Fishing Area 34,1897,29.29
American lobster Lobster Fishing Areas 35-38,1897,27.59
American lobster Southern Gulf of St. Lawrence,1897,26.67
Atlantic halibut Gulf of Maine / Georges Bank,1897,27.79
Black rockfish Oregon Coast,1897,30.1
Canary rockfish Pacific Coast,1897,27.66
Chilipepper Southern Pacific Coast,1897,27.95
English sole Pacific Coast,1897,28.98
Pacific halibut North Pacific,1897,27.88
Petrale sole Pacific Coast,1897,28.11
Red snapper Gulf of Mexico,1897,30.16
Rex sole Pacific Coast,1897,27.03
Sharpchin rockfish Pacific Coast,1897,26.16
Spanish mackerel Gulf of Mexico,1897,26.41
Yellowtail rockfish Northern Pacific Coast,1897,29.66
American lobster Lobster Fishing Area 34,1898,28.5
American lobster Lobster Fishing Areas 35-38,1898,27.14
American lobster Southern Gulf of St. Lawrence,1898,27.43
Atlantic halibut Gulf of Maine / Georges Bank,1898,27.43
Black rockfish Oregon Coast,1898,29.72
Canary rockfish Pacific Coast,1898,27.66
Chilipepper Southern Pacific Coast,1898,28.32
English sole Pacific Coast,1898,27.95
Pacific halibut North Pacific,1898,26.96
Petrale sole Pacific Coast,1898,28.65
Red snapper Gulf of Mexico,1898,29.35
Rex sole Pacific Coast,1898,27.62
Sharpchin rockfish Pacific Coast,1898,26.15
Spanish mackerel Gulf of Mexico,1898,27.04
Yellowtail rockfish Northern Pacific Coast,1898,29.11
American lobster Lobster Fishing Area 34,1899,29.16
American lobster Lobster Fishing Areas 35-38,1899,27.37
American lobster Southern Gulf of St. Lawrence,1899,26.95
Atlantic halibut Gulf of Maine / Georges Bank,1899,27.07
Black rockfish Oregon Coast,1899,28.63
Canary rockfish Pacific Coast,1899,27.93
Chilipepper Southern Pacific Coast,1899,28.48
English sole Pacific Coast,1899,28.72
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1899,27.38
New Zealand snapper New Zealand SNA 1 east Northland,1899,26.97
Pacific halibut North Pacific,1899,26.15
Petrale sole Pacific Coast,1899,29.35
Red snapper Gulf of Mexico,1899,28.77
Rex sole Pacific Coast,1899,27.44
Sharpchin rockfish Pacific Coast,1899,26.56
Spanish mackerel Gulf of Mexico,1899,27.07
Yellowtail rockfish Northern Pacific Coast,1899,29.39
American lobster Lobster Fishing Area 34,1900,28.8
American lobster Lobster Fishing Areas 35-38,1900,27.37
American lobster Southern Gulf of St. Lawrence,1900,26.45
Atlantic halibut Gulf of Maine / Georges Bank,1900,28.21
Black rockfish Oregon Coast,1900,29.38
Canary rockfish Pacific Coast,1900,28.6
Chilipepper Southern Pacific Coast,1900,28.37
China rockfish Central Pacific Coast,1900,27.96
China rockfish Northern Pacific Coast,1900,27.2
China rockfish Southern Pacific Coast,1900,27.2
Cowcod Southern California,1900,27.82
English sole Pacific Coast,1900,29.35
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1900,26.94
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1900,27.14
New Zealand snapper New Zealand SNA 1 east Northland,1900,27.3
Pacific halibut North Pacific,1900,27.07
Petrale sole Pacific Coast,1900,29.53
Red snapper Gulf of Mexico,1900,29.2
Rex sole Pacific Coast,1900,26.72
Sablefish Pacific Coast,1900,27.64
Sharpchin rockfish Pacific Coast,1900,25.3
Spanish mackerel Gulf of Mexico,1900,27.0
Yellowtail rockfish Northern Pacific Coast,1900,29.22
American lobster Lobster Fishing Area 34,1901,28.52
American lobster Lobster Fishing Areas 35-38,1901,27.41
American lobster Southern Gulf of St. Lawrence,1901,26.72
Atlantic halibut Gulf of Maine / Georges Bank,1901,26.74
Black rockfish Oregon Coast,1901,28.8
Canary rockfish Pacific Coast,1901,26.88
Chilipepper Southern Pacific Coast,1901,28.79
China rockfish Central Pacific Coast,1901,28.24
China rockfish Northern Pacific Coast,1901,27.42
China rockfish Southern Pacific Coast,1901,27.66
Cowcod Southern California,1901,27.71
English sole Pacific Coast,1901,28.23
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1901,27.15
King mackerel Southern Atlantic coast,1901,27.27
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1901,27.04
New Zealand snapper New Zealand SNA 1 east Northland,1901,27.15
Pacific halibut North Pacific,1901,26.78
Petrale sole Pacific Coast,1901,28.13
Red snapper Gulf of Mexico,1901,29.02
Rex sole Pacific Coast,1901,27.22
Sablefish Pacific Coast,1901,27.08
Sharpchin rockfish Pacific Coast,1901,26.59
Shortspine thornyhead Pacific Coast,1901,27.52
Spanish mackerel Gulf of Mexico,1901,26.22
Yellowtail rockfish Northern Pacific Coast,1901,29.89
American lobster Lobster Fishing Area 34,1902,29.29
American lobster Lobster Fishing Areas 35-38,1902,28.32
American lobster Southern Gulf of St. Lawrence,1902,26.19
Atlantic halibut Gulf of Maine / Georges Bank,1902,27.56
Black rockfish Oregon Coast,1902,29.07
Canary rockfish Pacific Coast,1902,28.84
Chilipepper Southern Pacific Coast,1902,28.41
China rockfish Central Pacific Coast,1902,27.53
China rockfish Northern Pacific Coast,1902,28.44
China rockfish Southern Pacific Coast,1902,27.26
Cowcod Southern California,1902,28.81
English sole Pacific Coast,1902,29.12
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1902,26.94
King mackerel Southern Atlantic coast,1902,27.55
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1902,26.89
New Zealand snapper New Zealand SNA 1 east Northland,1902,27.45
Pacific halibut North Pacific,1902,27.44
Petrale sole Pacific Coast,1902,27.94
Red snapper Gulf of Mexico,1902,29.45
Rex sole Pacific Coast,1902,26.53
Sablefish Pacific Coast,1902,26.92
Sharpchin rockfish Pacific Coast,1902,26.59
Shortspine thornyhead Pacific Coast,1902,26.93
Spanish mackerel Gulf of Mexico,1902,28.04
Yellowtail rockfish Northern Pacific Coast,1902,28.85
American lobster Lobster Fishing Area 34,1903,29.04
American lobster Lobster Fishing Areas 35-38,1903,27.78
American lobster Southern Gulf of St. Lawrence,1903,26.3
Atlantic halibut Gulf of Maine / Georges Bank,1903,26.53
Black rockfish Oregon Coast,1903,28.94
Canary rockfish Pacific Coast,1903,27.93
Chilipepper Southern Pacific Coast,1903,27.55
China rockfish Central Pacific Coast,1903,28.28
China rockfish Northern Pacific Coast,1903,27.96
China rockfish Southern Pacific Coast,1903,28.0
Cowcod Southern California,1903,27.84
English sole Pacific Coast,1903,27.96
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1903,26.78
King mackerel Southern Atlantic coast,1903,27.61
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1903,27.57
New Zealand snapper New Zealand SNA 1 east Northland,1903,28.18
Pacific halibut North Pacific,1903,27.64
Petrale sole Pacific Coast,1903,28.49
Red snapper Gulf of Mexico,1903,29.81
Rex sole Pacific Coast,1903,26.79
Sablefish Pacific Coast,1903,27.52
Sharpchin rockfish Pacific Coast,1903,26.03
Shortspine thornyhead Pacific Coast,1903,27.96
Spanish mackerel Gulf of Mexico,1903,27.07
Yellowtail rockfish Northern Pacific Coast,1903,30.33
American lobster Lobster Fishing Area 34,1904,28.96
American lobster Lobster Fishing Areas 35-38,1904,27.26
American lobster Southern Gulf of St. Lawrence,1904,26.87
Atlantic halibut Gulf of Maine / Georges Bank,1904,27.48
Black rockfish Oregon Coast,1904,28.78
Canary rockfish Pacific Coast,1904,29.03
Chilipepper Southern Pacific Coast,1904,28.21
China rockfish Central Pacific Coast,1904,27.49
China rockfish Northern Pacific Coast,1904,28.22
China rockfish Southern Pacific Coast,1904,28.03
Cowcod Southern California,1904,28.19
English sole Pacific Coast,1904,28.56
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1904,27.14
King mackerel Southern Atlantic coast,1904,27.33
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1904,26.74
New Zealand snapper New Zealand SNA 1 east Northland,1904,27.93
Pacific halibut North Pacific,1904,27.35
Petrale sole Pacific Coast,1904,29.03
Red snapper Gulf of Mexico,1904,28.81
Rex sole Pacific Coast,1904,26.87
Sablefish Pacific Coast,1904,27.6
Sharpchin rockfish Pacific Coast,1904,26.18
Shortspine thornyhead Pacific Coast,1904,28.27
Spanish mackerel Gulf of Mexico,1904,27.66
Yellowtail rockfish Northern Pacific Coast,1904,29.2
American lobster Lobster Fishing Area 34,1905,29.12
American lobster Lobster Fishing Areas 35-38,1905,27.96
American lobster Southern Gulf of St. Lawrence,1905,27.67
Atlantic halibut Gulf of Maine / Georges Bank,1905,28.1
Black rockfish Oregon Coast,1905,29.5
Canary rockfish Pacific Coast,1905,27.98
Chilipepper Southern Pacific Coast,1905,28.9
China rockfish Central Pacific Coast,1905,28.45
China rockfish Northern Pacific Coast,1905,27.79
China rockfish Southern Pacific Coast,1905,27.18
Cowcod Southern California,1905,27.79
English sole Pacific Coast,1905,27.93
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1905,26.04
King mackerel Southern Atlantic coast,1905,27.99
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1905,27.22
New Zealand snapper New Zealand SNA 1 east Northland,1905,27.27
Orange roughy New Zealand Mid East Coast,1905,28.79
Pacific halibut North Pacific,1905,27.17
Petrale sole Pacific Coast,1905,28.31
Red snapper Gulf of Mexico,1905,28.78
Rex sole Pacific Coast,1905,27.6
Sablefish Pacific Coast,1905,27.63
Sharpchin rockfish Pacific Coast,1905,26.79
Shortspine thornyhead Pacific Coast,1905,28.39
Spanish mackerel Gulf of Mexico,1905,26.66
Splitnose rockfish Pacific Coast,1905,27.81
Spurdog Northeast Atlantic,1905,28.07
Yellowtail rockfish Northern Pacific Coast,1905,29.95
American lobster Lobster Fishing Area 34,1906,29.48
American lobster Lobster Fishing Areas 35-38,1906,26.74
American lobster Southern Gulf of St. Lawrence,1906,27.05
Atlantic halibut Gulf of Maine / Georges Bank,1906,27.91
Black rockfish Oregon Coast,1906,29.23
Canary rockfish Pacific Coast,1906,28.38
Chilipepper Southern Pacific Coast,1906,28.7
China rockfish Central Pacific Coast,1906,28.6
China rockfish Northern Pacific Coast,1906,28.2
China rockfish Southern Pacific Coast,1906,27.51
Cowcod Southern California,1906,27.71
Dredge oyster Foveax Strait,1906,28.64
English sole Pacific Coast,1906,29.18
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1906,28.19
King mackerel Southern Atlantic coast,1906,28.26
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1906,26.22
New Zealand snapper New Zealand SNA 1 east Northland,1906,27.57
Orange roughy New Zealand Mid East Coast,1906,29.88
Pacific halibut North Pacific,1906,27.4
Petrale sole Pacific Coast,1906,28.58
Red snapper Gulf of Mexico,1906,29.92
Rex sole Pacific Coast,1906,26.85
Sablefish Pacific Coast,1906,27.74
Sharpchin rockfish Pacific Coast,1906,26.56
Shortspine thornyhead Pacific Coast,1906,27.98
Spanish mackerel Gulf of Mexico,1906,27.5
Splitnose rockfish Pacific Coast,1906,26.76
Spurdog Northeast Atlantic,1906,28.81
Yellowtail rockfish Northern Pacific Coast,1906,29.32
American lobster Lobster Fishing Area 34,1907,29.27
American lobster Lobster Fishing Areas 35-38,1907,26.58
American lobster Southern Gulf of St. Lawrence,1907,27.17
Atlantic halibut Gulf of Maine / Georges Bank,1907,28.49
Black rockfish Oregon Coast,1907,28.98
Canary rockfish Pacific Coast,1907,27.89
Chilipepper Southern Pacific Coast,1907,28.9
China rockfish Central Pacific Coast,1907,28.94
China rockfish Northern Pacific Coast,1907,27.21
China rockfish Southern Pacific Coast,1907,26.96
Cowcod Southern California,1907,28.25
Dredge oyster Foveax Strait,1907,28.01
English sole Pacific Coast,1907,28.43
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1907,26.01
King mackerel Southern Atlantic coast,1907,28.03
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1907,27.36
New Zealand snapper New Zealand SNA 1 east Northland,1907,26.7
Orange roughy New Zealand Mid East Coast,1907,29.72
Pacific halibut North Pacific,1907,27.95
Petrale sole Pacific Coast,1907,28.06
Red snapper Gulf of Mexico,1907,30.08
Rex sole Pacific Coast,1907,26.9
Sablefish Pacific Coast,1907,27.61
Sharpchin rockfish Pacific Coast,1907,26.28
Shortspine thornyhead Pacific Coast,1907,29.12
Spanish mackerel Gulf of Mexico,1907,26.96
Splitnose rockfish Pacific Coast,1907,27.3
Spurdog Northeast Atlantic,1907,27.84
Yellowtail rockfish Northern Pacific Coast,1907,30.48
American lobster Lobster Fishing Area 34,1908,30.1
American lobster Lobster Fishing Areas 35-38,1908,28.11
American lobster Southern Gulf of St. Lawrence,1908,27.31
Atlantic halibut Gulf of Maine / Georges Bank,1908,27.47
Black rockfish Oregon Coast,1908,29.67
Canary rockfish Pacific Coast,1908,28.46
Chilipepper Southern Pacific Coast,1908,29.44
China rockfish Central Pacific Coast,1908,28.79
China rockfish Northern Pacific Coast,1908,27.63
China rockfish Southern Pacific Coast,1908,28.01
Common sole ICES 7bc,1908,27.14
Cowcod Southern California,1908,27.11
Dredge oyster Foveax Strait,1908,28.84
English sole Pacific Coast,1908,28.64
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1908,26.64
European plaice ICES 7bc,1908,28.06
King mackerel Southern Atlantic coast,1908,27.69
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1908,27.45
New Zealand snapper New Zealand SNA 1 east Northland,1908,26.89
Orange roughy New Zealand Mid East Coast,1908,29.11
Pacific halibut North Pacific,1908,27.42
Petrale sole Pacific Coast,1908,29.39
Red snapper Gulf of Mexico,1908,28.97
Rex sole Pacific Coast,1908,27.03
Sablefish Pacific Coast,1908,27.67
Sharpchin rockfish Pacific Coast,1908,27.3
Shortspine thornyhead Pacific Coast,1908,27.88
Spanish mackerel Gulf of Mexico,1908,27.73
Splitnose rockfish Pacific Coast,1908,26.29
Spurdog Northeast Atlantic,1908,27.58
Yellowtail rockfish Northern Pacific Coast,1908,29.74
American lobster Lobster Fishing Area 34,1909,28.47
American lobster Lobster Fishing Areas 35-38,1909,26.73
American lobster Southern Gulf of St. Lawrence,1909,26.59
Atlantic halibut Gulf of Maine / Georges Bank,1909,28.19
Black rockfish Oregon Coast,1909,28.33
Canary rockfish Pacific Coast,1909,28.57
Chilipepper Southern Pacific Coast,1909,29.32
China rockfish Central Pacific Coast,1909,28.16
China rockfish Northern Pacific Coast,1909,27.79
China rockfish Southern Pacific Coast,1909,27.75
Common sole ICES 7bc,1909,26.72
Cowcod Southern California,1909,29.21
Dredge oyster Foveax Strait,1909,27.9
English sole Pacific Coast,1909,28.85
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1909,27.2
European plaice ICES 7bc,1909,28.31
King mackerel Southern Atlantic coast,1909,26.34
New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf,1909,27.15
New Zealand snapper New Zealand SNA 1 east Northland,1909,28.04
Orange roughy New Zealand Mid East Coast,1909,29.42
Pacific halibut North Pacific,1909,27.33
Petrale sole Pacific Coast,1909,27.93
Red snapper Gulf of Mexico,1909,29.73
Rex sole Pacific Coast,1909,26.94
Sablefish Pacific Coast,1909,27.73
Sharpchin rockfish Pacific Coast,1909,26.8
Shortspine thornyhead Pacific Coast,1909,27.56
Spanish mackerel Gulf of Mexico,1909,26.7
Splitnose rockfish Pacific Coast,1909,27.46
Spurdog Northeast Atlantic,1909,28.11
Yellowtail rockfish Northern Pacific Coast,1909,29.17
American lobster Lobster Fishing Area 34,1910,28.74
American lobster Lobster Fishing Areas 35-38,1910,27.19
American lobster Southern Gulf of St. Lawrence,1910,27.66
Atlantic halibut Gulf of Maine / Georges Bank,1910,27.56
Black rockfish Oregon Coast,1910,29.29
Canary rockfish Pacific Coast,1910,28.55
Chilipepper Southern Pacific Coast,1910,28.26
China rockfish Central Pacific Coast,1910,27.39
China rockfish Northern Pacific Coast,1910,27.48
China rockfish Southern Pacific Coast,1910,27.7
Common sole ICES 7bc,1910,26.88
Cowcod Southern California,1910,28.89
Dover sole Pacific Coast,1910,27.26
Dredge oyster Foveax Strait,1910,28.42
English sole Pacific Coast,1910,28.59
Eulachon Pacific Coast of Canada Fraser River Designatable Unit,1910,27.56
