Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave
21-07-2018,Great Barrier Reef,-18.345,147.7744,29.82,8.013,None,107,FALSE
27-07-2018,South China Sea,10.0104,114.8979,28.13,8.023,Low,108,FALSE
03-08-2018,Red Sea,19.9859,38.5899,29.46,8.002,High,118,FALSE
10-08-2018,Hawaiian Islands,19.9668,-155.5366,28.59,8.016,None,129,FALSE
16-08-2018,Great Barrier Reef,-18.2674,147.744,29.45,8.083,Medium,102,FALSE
23-08-2018,South China Sea,10.0659,115.0099,31.61,7.953,None,114,TRUE
29-08-2018,Caribbean Sea,15.0099,-75.0326,27.77,8.048,High,133,FALSE
05-09-2018,Red Sea,20.0261,38.4713,28.46,8.158,Low,146,FALSE
11-09-2018,Maldives,3.2246,73.2226,28.68,8.077,Medium,102,FALSE
18-09-2018,Maldives,3.1899,73.1373,29.1,8.07,Medium,106,FALSE
25-09-2018,Hawaiian Islands,19.9755,-155.6441,26.3,8.105,None,157,FALSE
01-10-2018,Galápagos,-0.8696,-90.9885,30.12,8.016,None,101,TRUE
08-10-2018,Red Sea,20.0442,38.5326,26.14,8.171,Low,164,FALSE
14-10-2018,Caribbean Sea,14.9687,-74.9802,29.24,8.048,Low,104,FALSE
21-10-2018,Great Barrier Reef,-18.3207,147.6979,30.26,8.042,Low,96,TRUE
28-10-2018,Caribbean Sea,15.0386,-75.1424,30.22,7.929,None,97,TRUE
03-11-2018,Great Barrier Reef,-18.3431,147.6345,30.24,7.992,Low,107,TRUE
10-11-2018,Hawaiian Islands,19.8945,-155.5589,28.62,7.984,High,133,FALSE
16-11-2018,Red Sea,19.9753,38.4222,27.86,8.138,None,139,FALSE
23-11-2018,Great Barrier Reef,-18.3045,147.6817,28.02,8.163,None,130,FALSE
29-11-2018,Caribbean Sea,15.0215,-74.9485,28.86,8.03,Medium,113,FALSE
06-12-2018,Hawaiian Islands,19.8932,-155.5847,29.59,8.031,High,120,FALSE
13-12-2018,Hawaiian Islands,19.8928,-155.5789,25.5,8.156,None,155,FALSE
19-12-2018,Caribbean Sea,15.0499,-75.1448,31.63,7.98,Medium,105,TRUE
26-12-2018,Red Sea,19.948,38.5306,26.92,8.05,None,164,FALSE
01-01-2019,Great Barrier Reef,-18.2966,147.7101,29.81,8.049,Medium,109,FALSE
08-01-2019,South China Sea,10.0182,115.1202,28.41,8.062,High,136,FALSE
15-01-2019,Red Sea,20.0553,38.5594,29.46,7.974,High,134,FALSE
21-01-2019,South China Sea,9.9427,115.0151,27.37,8.069,Low,136,FALSE
28-01-2019,Red Sea,20.0161,38.5211,30.92,8.024,None,92,TRUE
03-02-2019,Great Barrier Reef,-18.2389,147.7587,26.66,8.117,None,148,FALSE
10-02-2019,Hawaiian Islands,19.8819,-155.514,28.27,8.061,High,119,FALSE
17-02-2019,Red Sea,20.0008,38.4452,26.34,8.173,High,128,FALSE
23-02-2019,Galápagos,-1.0034,-91.0733,27.54,8.003,None,154,FALSE
02-03-2019,Galápagos,-0.9033,-91,31.88,8.032,High,81,TRUE
08-03-2019,Hawaiian Islands,19.7718,-155.4683,26.42,8.009,Medium,156,FALSE
15-03-2019,Red Sea,20.122,38.5692,29.35,8.063,None,124,FALSE
21-03-2019,South China Sea,10.0379,115.0141,28.66,8.044,None,107,FALSE
28-03-2019,Caribbean Sea,14.986,-75.0846,28.35,8.004,Low,104,FALSE
04-04-2019,Red Sea,20.009,38.5696,29.88,7.944,Low,91,FALSE
10-04-2019,South China Sea,10.047,114.9509,28.16,8.084,None,108,FALSE
17-04-2019,Red Sea,20.0053,38.4333,27.6,8.084,Low,105,FALSE
23-04-2019,Maldives,3.2248,73.2197,29.33,8.045,Medium,132,FALSE
30-04-2019,Red Sea,20.0063,38.4785,28.68,8.073,None,118,FALSE
07-05-2019,Maldives,3.2048,73.1856,27.51,8,Medium,156,FALSE
13-05-2019,Hawaiian Islands,19.8346,-155.6174,27.42,8.116,Low,126,FALSE
20-05-2019,Hawaiian Islands,19.9592,-155.6165,28.92,8,None,147,FALSE
26-05-2019,Maldives,3.1434,73.2362,29.45,8.052,High,107,FALSE
02-06-2019,Caribbean Sea,14.9935,-74.9978,28.28,8.103,Medium,155,FALSE
08-06-2019,Caribbean Sea,14.9721,-75.0685,28.37,8.182,Medium,109,FALSE
15-06-2019,Great Barrier Reef,-18.2051,147.7831,27.67,8.095,Medium,152,FALSE
22-06-2019,Red Sea,19.981,38.4898,27.63,8.017,None,118,FALSE
28-06-2019,Maldives,3.1416,73.2224,27.35,8.085,Low,108,FALSE
05-07-2019,Caribbean Sea,15.0165,-74.9583,25.51,8.129,High,168,FALSE
11-07-2019,Red Sea,19.9395,38.5836,29.13,8.002,High,112,FALSE
18-07-2019,Caribbean Sea,15.0279,-74.9962,29.31,7.988,None,114,FALSE
25-07-2019,Caribbean Sea,14.9293,-75.0056,27.14,8.04,None,152,FALSE
31-07-2019,Galápagos,-0.8992,-90.9351,26.86,8.067,High,154,FALSE
07-08-2019,Great Barrier Reef,-18.28,147.8152,29.09,8.048,Medium,109,FALSE
13-08-2019,South China Sea,10.0067,114.9924,29.56,8.077,Medium,97,FALSE
20-08-2019,Caribbean Sea,14.9334,-75.0918,29.26,7.98,Medium,80,FALSE
26-08-2019,South China Sea,10.0194,115.1246,28.49,8.092,Low,121,FALSE
02-09-2019,Galápagos,-0.9587,-90.9196,28.06,8.072,Low,129,FALSE
09-09-2019,Great Barrier Reef,-18.3205,147.7488,28.24,8.017,Medium,130,FALSE
15-09-2019,Maldives,3.1579,73.2221,28.49,8.105,None,127,FALSE
22-09-2019,Hawaiian Islands,19.8955,-155.5419,30.59,8.036,Low,99,TRUE
28-09-2019,Caribbean Sea,14.9344,-75.0533,28.04,8.029,None,121,FALSE
05-10-2019,Galápagos,-0.951,-90.9391,28.39,8.076,Medium,122,FALSE
12-10-2019,Caribbean Sea,14.9012,-75.047,28.28,7.994,Medium,131,FALSE
18-10-2019,Red Sea,20.0765,38.5609,28.18,8.131,Medium,125,FALSE
25-10-2019,Galápagos,-0.9707,-90.9963,28.05,8.04,None,127,FALSE
31-10-2019,Caribbean Sea,15.008,-74.9998,29.16,8.096,Medium,127,FALSE
07-11-2019,South China Sea,9.9258,114.8723,29.9,7.954,Low,102,FALSE
13-11-2019,Caribbean Sea,14.9415,-75.0901,29.31,8.072,Medium,103,FALSE
20-11-2019,Caribbean Sea,14.8704,-75.0273,29.09,7.964,High,116,FALSE
27-11-2019,Hawaiian Islands,19.896,-155.5538,28.68,7.998,None,136,FALSE
03-12-2019,Maldives,3.1949,73.2193,27.1,8.056,High,120,FALSE
10-12-2019,South China Sea,9.9914,115.0856,26.44,8.01,Medium,162,FALSE
16-12-2019,Caribbean Sea,14.9895,-75.0335,30.06,7.989,Medium,131,TRUE
23-12-2019,South China Sea,10.0339,114.9756,31.74,7.955,Medium,98,TRUE
30-12-2019,Hawaiian Islands,19.9118,-155.5177,30.84,8.005,Medium,85,TRUE
05-01-2020,Red Sea,20.023,38.4661,31.52,7.996,Medium,84,TRUE
12-01-2020,South China Sea,10.0092,114.9326,27.04,8.139,Medium,124,FALSE
18-01-2020,Maldives,3.1505,73.2475,30.28,8.05,Low,117,TRUE
25-01-2020,South China Sea,9.9622,114.9289,30.75,7.989,None,93,TRUE
01-02-2020,Red Sea,20.0664,38.5278,29.18,8.145,None,103,FALSE
07-02-2020,Red Sea,20.0464,38.5029,28.9,8.118,Low,123,FALSE
14-02-2020,Great Barrier Reef,-18.2602,147.7528,27.95,8.019,None,109,FALSE
20-02-2020,South China Sea,9.9017,115.1028,26.85,8.072,Medium,132,FALSE
27-02-2020,Red Sea,20.0154,38.5408,29.79,7.995,High,104,FALSE
04-03-2020,Caribbean Sea,15.0141,-75.0124,30.91,8.026,None,106,TRUE
11-03-2020,Red Sea,20.0331,38.5587,28.77,7.98,None,123,FALSE
18-03-2020,Great Barrier Reef,-18.3197,147.6728,29.38,8.094,None,111,FALSE
24-03-2020,Caribbean Sea,15.0154,-74.9149,28.86,8.173,High,124,FALSE
31-03-2020,Galápagos,-1.0418,-90.9279,29.07,8.103,Low,124,FALSE
06-04-2020,Galápagos,-0.9607,-91.0268,28.19,8.014,None,114,FALSE
13-04-2020,Galápagos,-0.9244,-90.8821,29.09,7.978,Medium,120,FALSE
20-04-2020,Caribbean Sea,15.0598,-75.0305,28.3,8.055,High,110,FALSE
26-04-2020,Great Barrier Reef,-18.2547,147.6932,29.13,7.993,None,107,FALSE
03-05-2020,Caribbean Sea,15.0361,-75.0186,31.09,7.978,None,97,TRUE
09-05-2020,Hawaiian Islands,19.9434,-155.6537,25.86,8.027,Low,165,FALSE
16-05-2020,Great Barrier Reef,-18.3147,147.8271,27.65,8.076,Low,151,FALSE
22-05-2020,South China Sea,10.1003,115.1031,30.31,8.065,Low,110,TRUE
29-05-2020,Caribbean Sea,15.0389,-75.0276,27.27,8.074,Medium,129,FALSE
05-06-2020,Caribbean Sea,14.9773,-74.9652,29.93,8.026,High,127,FALSE
11-06-2020,Caribbean Sea,14.9429,-75.0097,27.42,7.978,Medium,129,FALSE
18-06-2020,Great Barrier Reef,-18.2932,147.7749,29.45,7.98,Medium,138,FALSE
24-06-2020,Red Sea,20.0611,38.5291,28.16,8.009,Low,117,FALSE
01-07-2020,Red Sea,20.0544,38.5942,30.81,7.979,Medium,80,TRUE
08-07-2020,South China Sea,10.007,114.9116,28.98,8.033,None,108,FALSE
14-07-2020,South China Sea,9.9203,115.0257,27.7,8.007,Medium,84,FALSE
21-07-2020,Caribbean Sea,14.9986,-74.9114,30.99,7.977,High,86,TRUE
27-07-2020,South China Sea,10.0234,114.9501,28.95,8.079,Low,133,FALSE
03-08-2020,Caribbean Sea,14.995,-75.0102,27.18,8.035,None,129,FALSE
09-08-2020,Maldives,3.2212,73.2664,27.3,8.149,Medium,127,FALSE
16-08-2020,Red Sea,19.9989,38.4626,24.86,8.167,Medium,167,FALSE
23-08-2020,South China Sea,9.9859,115.0033,29.27,7.956,Low,104,FALSE
29-08-2020,Maldives,3.2425,73.158,28.94,7.973,Low,122,FALSE
05-09-2020,Red Sea,19.9982,38.4192,30.25,7.978,High,90,TRUE
11-09-2020,Red Sea,20.01,38.5574,26.98,8.084,High,141,FALSE
18-09-2020,Caribbean Sea,15.0347,-74.9912,27.95,8.02,High,126,FALSE
25-09-2020,South China Sea,9.9464,114.8539,29.15,8.082,Low,78,FALSE
01-10-2020,South China Sea,9.9495,115.031,31.59,7.989,High,78,TRUE
08-10-2020,Galápagos,-0.9629,-90.8969,27.53,8.029,Medium,122,FALSE
14-10-2020,Caribbean Sea,14.9523,-74.9939,30.94,8.017,None,91,TRUE
21-10-2020,Hawaiian Islands,19.8822,-155.661,29.82,8.02,Low,104,FALSE
28-10-2020,Great Barrier Reef,-18.1274,147.7141,27.37,8.051,None,148,FALSE
